,2019
".Custer County, Montana",11402.0
".Daniels County, Montana",1690.0
".Dawson County, Montana",8613.0
".Deer Lodge County, Montana",9140.0
".Fallon County, Montana",2846.0
".Fergus County, Montana",11050.0
".Flathead County, Montana",103806.0
".Gallatin County, Montana",114434.0
".Garfield County, Montana",1258.0
".Glacier County, Montana",13753.0
".Golden Valley County, Montana",821.0
".Granite County, Montana",3379.0
".Hill County, Montana",16484.0
".Jefferson County, Montana",12221.0
".Judith Basin County, Montana",2007.0
".Lake County, Montana",30458.0
".Lewis and Clark County, Montana",69432.0
".Liberty County, Montana",2337.0
".Lincoln County, Montana",19980.0
".McCone County, Montana",1664.0
".Madison County, Montana",8600.0
".Meagher County, Montana",1862.0
".Mineral County, Montana",4397.0
".Missoula County, Montana",119600.0
".Musselshell County, Montana",4633.0
".Park County, Montana",16606.0
".Petroleum County, Montana",487.0
".Phillips County, Montana",3954.0
".Pondera County, Montana",5911.0
".Powder River County, Montana",1682.0
".Powell County, Montana",6890.0
".Prairie County, Montana",1077.0
".Ravalli County, Montana",43806.0
".Richland County, Montana",10803.0
".Roosevelt County, Montana",11004.0
".Rosebud County, Montana",8937.0
".Sanders County, Montana",12113.0
".Sheridan County, Montana",3309.0
".Silver Bow County, Montana",34915.0
".Stillwater County, Montana",9642.0
".Sweet Grass County, Montana",3737.0
".Teton County, Montana",6147.0
".Toole County, Montana",4736.0
".Treasure County, Montana",696.0
".Valley County, Montana",7396.0
".Wheatland County, Montana",2126.0
".Wibaux County, Montana",969.0
".Yellowstone County, Montana",161300.0
".Adams County, Nebraska",31363.0
".Antelope County, Nebraska",6298.0
".Arthur County, Nebraska",463.0
".Banner County, Nebraska",745.0
".Blaine County, Nebraska",465.0
".Boone County, Nebraska",5192.0
".Box Butte County, Nebraska",10783.0
".Boyd County, Nebraska",1919.0
".Brown County, Nebraska",2955.0
".Buffalo County, Nebraska",49659.0
".Burt County, Nebraska",6459.0
".Butler County, Nebraska",8016.0
".Cass County, Nebraska",26248.0
".Cedar County, Nebraska",8402.0
".Chase County, Nebraska",3924.0
".Cherry County, Nebraska",5689.0
".Cheyenne County, Nebraska",8910.0
".Clay County, Nebraska",6203.0
".Colfax County, Nebraska",10709.0
".Cuming County, Nebraska",8846.0
".Custer County, Nebraska",10777.0
".Dakota County, Nebraska",20026.0
".Dawes County, Nebraska",8589.0
".Dawson County, Nebraska",23595.0
".Deuel County, Nebraska",1794.0
".Dixon County, Nebraska",5636.0
".Dodge County, Nebraska",36565.0
".Douglas County, Nebraska",571327.0
".Dundy County, Nebraska",1693.0
".Fillmore County, Nebraska",5462.0
".Franklin County, Nebraska",2979.0
".Frontier County, Nebraska",2627.0
".Furnas County, Nebraska",4676.0
".Gage County, Nebraska",21513.0
".Garden County, Nebraska",1837.0
".Garfield County, Nebraska",1969.0
".Gosper County, Nebraska",1990.0
".Grant County, Nebraska",623.0
".Greeley County, Nebraska",2356.0
".Hall County, Nebraska",61353.0
".Hamilton County, Nebraska",9324.0
".Harlan County, Nebraska",3380.0
".Hayes County, Nebraska",922.0
".Hitchcock County, Nebraska",2762.0
".Holt County, Nebraska",10067.0
".Hooker County, Nebraska",682.0
".Howard County, Nebraska",6445.0
".Jefferson County, Nebraska",7046.0
".Johnson County, Nebraska",5071.0
".Kearney County, Nebraska",6495.0
".Keith County, Nebraska",8034.0
".Keya Paha County, Nebraska",806.0
".Kimball County, Nebraska",3632.0
".Knox County, Nebraska",8332.0
".Lancaster County, Nebraska",319090.0
".Lincoln County, Nebraska",34914.0
".Logan County, Nebraska",748.0
".Loup County, Nebraska",664.0
".McPherson County, Nebraska",494.0
".Madison County, Nebraska",35099.0
".Merrick County, Nebraska",7755.0
".Morrill County, Nebraska",4642.0
".Nance County, Nebraska",3519.0
".Nemaha County, Nebraska",6972.0
".Nuckolls County, Nebraska",4148.0
".Otoe County, Nebraska",16012.0
".Pawnee County, Nebraska",2613.0
".Perkins County, Nebraska",2891.0
".Phelps County, Nebraska",9034.0
".Pierce County, Nebraska",7148.0
".Platte County, Nebraska",33470.0
".Polk County, Nebraska",5213.0
".Red Willow County, Nebraska",10724.0
".Richardson County, Nebraska",7865.0
".Rock County, Nebraska",1357.0
".Saline County, Nebraska",14224.0
".Sarpy County, Nebraska",187196.0
".Saunders County, Nebraska",21578.0
".Scotts Bluff County, Nebraska",35618.0
".Seward County, Nebraska",17284.0
".Sheridan County, Nebraska",5246.0
".Sherman County, Nebraska",3001.0
".Sioux County, Nebraska",1166.0
".Stanton County, Nebraska",5920.0
".Thayer County, Nebraska",5003.0
".Thomas County, Nebraska",722.0
".Thurston County, Nebraska",7224.0
".Valley County, Nebraska",4158.0
".Washington County, Nebraska",20729.0
".Wayne County, Nebraska",9385.0
".Webster County, Nebraska",3487.0
".Wheeler County, Nebraska",783.0
".York County, Nebraska",13679.0
".Churchill County, Nevada",24909.0
".Clark County, Nevada",2266715.0
".Douglas County, Nevada",48905.0
".Elko County, Nevada",52778.0
".Esmeralda County, Nevada",873.0
".Eureka County, Nevada",2029.0
".Humboldt County, Nevada",16831.0
".Lander County, Nevada",5532.0
".Lincoln County, Nevada",5183.0
".Lyon County, Nevada",57510.0
".Mineral County, Nevada",4505.0
".Nye County, Nevada",46523.0
".Pershing County, Nevada",6725.0
".Storey County, Nevada",4123.0
".Washoe County, Nevada",471519.0
".White Pine County, Nevada",9580.0
".Carson City, Nevada",55916.0
".Belknap County, New Hampshire",61303.0
".Carroll County, New Hampshire",48910.0
".Cheshire County, New Hampshire",76085.0
".Coos County, New Hampshire",31563.0
".Grafton County, New Hampshire",89886.0
".Hillsborough County, New Hampshire",417025.0
".Merrimack County, New Hampshire",151391.0
".Rockingham County, New Hampshire",309769.0
".Strafford County, New Hampshire",130633.0
".Sullivan County, New Hampshire",43146.0
".Atlantic County, New Jersey",263670.0
".Bergen County, New Jersey",932202.0
".Burlington County, New Jersey",445349.0
".Camden County, New Jersey",506471.0
".Cape May County, New Jersey",92039.0
".Cumberland County, New Jersey",149527.0
".Essex County, New Jersey",798975.0
".Gloucester County, New Jersey",291636.0
".Hudson County, New Jersey",672391.0
".Hunterdon County, New Jersey",124371.0
".Mercer County, New Jersey",367430.0
".Middlesex County, New Jersey",825062.0
".Monmouth County, New Jersey",618795.0
".Morris County, New Jersey",491845.0
".Ocean County, New Jersey",607186.0
".Passaic County, New Jersey",501826.0
".Salem County, New Jersey",62385.0
".Somerset County, New Jersey",328934.0
".Sussex County, New Jersey",140488.0
".Union County, New Jersey",556341.0
".Warren County, New Jersey",105267.0
".Bernalillo County, New Mexico",679121.0
".Catron County, New Mexico",3527.0
".Chaves County, New Mexico",64615.0
".Cibola County, New Mexico",26675.0
".Colfax County, New Mexico",11941.0
".Curry County, New Mexico",48954.0
".De Baca County, New Mexico",1748.0
".Doña Ana County, New Mexico",218195.0
".Eddy County, New Mexico",58460.0
".Grant County, New Mexico",26998.0
".Guadalupe County, New Mexico",4300.0
".Harding County, New Mexico",625.0
".Hidalgo County, New Mexico",4198.0
".Lea County, New Mexico",71070.0
".Lincoln County, New Mexico",19572.0
".Los Alamos County, New Mexico",19369.0
".Luna County, New Mexico",23709.0
".McKinley County, New Mexico",71367.0
".Mora County, New Mexico",4521.0
".Otero County, New Mexico",67490.0
".Quay County, New Mexico",8253.0
".Rio Arriba County, New Mexico",38921.0
".Roosevelt County, New Mexico",18500.0
".Sandoval County, New Mexico",146748.0
".San Juan County, New Mexico",123958.0
".San Miguel County, New Mexico",27277.0
".Santa Fe County, New Mexico",150358.0
".Sierra County, New Mexico",10791.0
".Socorro County, New Mexico",16637.0
".Taos County, New Mexico",32723.0
".Torrance County, New Mexico",15461.0
".Union County, New Mexico",4059.0
".Valencia County, New Mexico",76688.0
".Albany County, New York",305506.0
".Allegany County, New York",46091.0
".Bronx County, New York",1418207.0
".Broome County, New York",190488.0
".Cattaraugus County, New York",76117.0
".Cayuga County, New York",76576.0
".Chautauqua County, New York",126903.0
".Chemung County, New York",83456.0
".Chenango County, New York",47207.0
".Clinton County, New York",80485.0
".Columbia County, New York",59461.0
".Cortland County, New York",47581.0
".Delaware County, New York",44135.0
".Dutchess County, New York",294218.0
".Erie County, New York",918702.0
".Essex County, New York",36885.0
".Franklin County, New York",50022.0
".Fulton County, New York",53383.0
".Genesee County, New York",57280.0
".Greene County, New York",47188.0
".Hamilton County, New York",4416.0
".Herkimer County, New York",61319.0
".Jefferson County, New York",109834.0
".Kings County, New York",2559903.0
".Lewis County, New York",26296.0
".Livingston County, New York",62914.0
".Madison County, New York",70941.0
".Monroe County, New York",741770.0
".Montgomery County, New York",49221.0
".Nassau County, New York",1356924.0
".New York County, New York",1628706.0
".Niagara County, New York",209281.0
".Oneida County, New York",228671.0
".Onondaga County, New York",460528.0
".Ontario County, New York",109777.0
".Orange County, New York",384940.0
".Orleans County, New York",40352.0
".Oswego County, New York",117124.0
".Otsego County, New York",59493.0
".Putnam County, New York",98320.0
".Queens County, New York",2253858.0
".Rensselaer County, New York",158714.0
".Richmond County, New York",476143.0
".Rockland County, New York",325789.0
".St. Lawrence County, New York",107740.0
".Saratoga County, New York",229863.0
".Schenectady County, New York",155299.0
".Schoharie County, New York",30999.0
".Schuyler County, New York",17807.0
".Seneca County, New York",34016.0
".Steuben County, New York",95379.0
".Suffolk County, New York",1476601.0
".Sullivan County, New York",75432.0
".Tioga County, New York",48203.0
".Tompkins County, New York",102180.0
".Ulster County, New York",177573.0
".Warren County, New York",63944.0
".Washington County, New York",61204.0
".Wayne County, New York",89918.0
".Westchester County, New York",967506.0
".Wyoming County, New York",39859.0
".Yates County, New York",24913.0
".Alamance County, North Carolina",169509.0
".Alexander County, North Carolina",37497.0
".Alleghany County, North Carolina",11137.0
".Anson County, North Carolina",24446.0
".Ashe County, North Carolina",27203.0
".Avery County, North Carolina",17557.0
".Beaufort County, North Carolina",46994.0
".Bertie County, North Carolina",18947.0
".Bladen County, North Carolina",32722.0
".Brunswick County, North Carolina",142820.0
".Buncombe County, North Carolina",261191.0
".Burke County, North Carolina",90485.0
".Cabarrus County, North Carolina",216453.0
".Caldwell County, North Carolina",82178.0
".Camden County, North Carolina",10867.0
".Carteret County, North Carolina",69473.0
".Caswell County, North Carolina",22604.0
".Catawba County, North Carolina",159551.0
".Chatham County, North Carolina",74470.0
".Cherokee County, North Carolina",28612.0
".Chowan County, North Carolina",13943.0
".Clay County, North Carolina",11231.0
".Cleveland County, North Carolina",97947.0
".Columbus County, North Carolina",55508.0
".Craven County, North Carolina",102139.0
".Cumberland County, North Carolina",335509.0
".Currituck County, North Carolina",27763.0
".Dare County, North Carolina",37009.0
".Davidson County, North Carolina",167609.0
".Davie County, North Carolina",42846.0
".Duplin County, North Carolina",58741.0
".Durham County, North Carolina",321488.0
".Edgecombe County, North Carolina",51472.0
".Forsyth County, North Carolina",382295.0
".Franklin County, North Carolina",69685.0
".Gaston County, North Carolina",224529.0
".Gates County, North Carolina",11562.0
".Graham County, North Carolina",8441.0
".Granville County, North Carolina",60443.0
".Greene County, North Carolina",21069.0
".Guilford County, North Carolina",537174.0
".Halifax County, North Carolina",50010.0
".Harnett County, North Carolina",135976.0
".Haywood County, North Carolina",62317.0
".Henderson County, North Carolina",117417.0
".Hertford County, North Carolina",23677.0
".Hoke County, North Carolina",55234.0
".Hyde County, North Carolina",4937.0
".Iredell County, North Carolina",181806.0
".Jackson County, North Carolina",43938.0
".Johnston County, North Carolina",209339.0
".Jones County, North Carolina",9419.0
".Lee County, North Carolina",61779.0
".Lenoir County, North Carolina",55949.0
".Lincoln County, North Carolina",86111.0
".McDowell County, North Carolina",45756.0
".Macon County, North Carolina",35858.0
".Madison County, North Carolina",21755.0
".Martin County, North Carolina",22440.0
".Mecklenburg County, North Carolina",1110356.0
".Mitchell County, North Carolina",14964.0
".Montgomery County, North Carolina",27173.0
".Moore County, North Carolina",100880.0
".Nash County, North Carolina",94298.0
".New Hanover County, North Carolina",234473.0
".Northampton County, North Carolina",19483.0
".Onslow County, North Carolina",197938.0
".Orange County, North Carolina",148476.0
".Pamlico County, North Carolina",12726.0
".Pasquotank County, North Carolina",39824.0
".Pender County, North Carolina",63060.0
".Perquimans County, North Carolina",13463.0
".Person County, North Carolina",39490.0
".Pitt County, North Carolina",180742.0
".Polk County, North Carolina",20724.0
".Randolph County, North Carolina",143667.0
".Richmond County, North Carolina",44829.0
".Robeson County, North Carolina",130625.0
".Rockingham County, North Carolina",91010.0
".Rowan County, North Carolina",142088.0
".Rutherford County, North Carolina",67029.0
".Sampson County, North Carolina",63531.0
".Scotland County, North Carolina",34823.0
".Stanly County, North Carolina",62806.0
".Stokes County, North Carolina",45591.0
".Surry County, North Carolina",71783.0
".Swain County, North Carolina",14271.0
".Transylvania County, North Carolina",34385.0
".Tyrrell County, North Carolina",4016.0
".Union County, North Carolina",239859.0
".Vance County, North Carolina",44535.0
".Wake County, North Carolina",1111761.0
".Warren County, North Carolina",19731.0
".Washington County, North Carolina",11580.0
".Watauga County, North Carolina",56177.0
".Wayne County, North Carolina",123131.0
".Wilkes County, North Carolina",68412.0
".Wilson County, North Carolina",81801.0
".Yadkin County, North Carolina",37667.0
".Yancey County, North Carolina",18069.0
".Adams County, North Dakota",2216.0
".Barnes County, North Dakota",10415.0
".Benson County, North Dakota",6832.0
".Billings County, North Dakota",928.0
"Bottineau County, North Dakota",6282.0
".Bowman County, North Dakota",3024.0
".Burke County, North Dakota",2115.0
".Burleigh County, North Dakota",95626.0
".Cass County, North Dakota",181923.0
".Cavalier County, North Dakota",3762.0
".Dickey County, North Dakota",4872.0
".Divide County, North Dakota",2264.0
".Dunn County, North Dakota",4424.0
".Eddy County, North Dakota",2287.0
".Emmons County, North Dakota",3241.0
".Foster County, North Dakota",3210.0
".Golden Valley County, North Dakota",1761.0
".Grand Forks County, North Dakota",69451.0
".Grant County, North Dakota",2274.0
".Griggs County, North Dakota",2231.0
".Hettinger County, North Dakota",2499.0
".Kidder County, North Dakota",2480.0
".LaMoure County, North Dakota",4046.0
".Logan County, North Dakota",1850.0
".McHenry County, North Dakota",5745.0
".McIntosh County, North Dakota",2497.0
".McKenzie County, North Dakota",15024.0
".McLean County, North Dakota",9450.0
".Mercer County, North Dakota",8187.0
".Morton County, North Dakota",31364.0
".Mountrail County, North Dakota",10545.0
".Nelson County, North Dakota",2879.0
".Oliver County, North Dakota",1959.0
".Pembina County, North Dakota",6801.0
".Pierce County, North Dakota",3975.0
".Ramsey County, North Dakota",11519.0
".Ransom County, North Dakota",5218.0
".Renville County, North Dakota",2327.0
".Richland County, North Dakota",16177.0
".Rolette County, North Dakota",14176.0
".Sargent County, North Dakota",3898.0
".Sheridan County, North Dakota",1315.0
".Sioux County, North Dakota",4230.0
".Slope County, North Dakota",750.0
".Stark County, North Dakota",31489.0
".Steele County, North Dakota",1890.0
".Stutsman County, North Dakota",20704.0
".Towner County, North Dakota",2189.0
".Traill County, North Dakota",8036.0
".Walsh County, North Dakota",10641.0
".Ward County, North Dakota",67641.0
".Wells County, North Dakota",3834.0
".Williams County, North Dakota",37589.0
".Adams County, Ohio",27698.0
".Allen County, Ohio",102351.0
".Ashland County, Ohio",53484.0
".Ashtabula County, Ohio",97241.0
".Athens County, Ohio",65327.0
".Auglaize County, Ohio",45656.0
".Belmont County, Ohio",67006.0
".Brown County, Ohio",43432.0
".Butler County, Ohio",383134.0
".Carroll County, Ohio",26914.0
".Champaign County, Ohio",38885.0
".Clark County, Ohio",134083.0
".Clermont County, Ohio",206428.0
".Clinton County, Ohio",41968.0
".Columbiana County, Ohio",101883.0
".Coshocton County, Ohio",36600.0
".Crawford County, Ohio",41494.0
".Cuyahoga County, Ohio",1235072.0
".Darke County, Ohio",51113.0
".Defiance County, Ohio",38087.0
".Delaware County, Ohio",209177.0
".Erie County, Ohio",74266.0
".Fairfield County, Ohio",157574.0
".Fayette County, Ohio",28525.0
".Franklin County, Ohio",1316756.0
".Fulton County, Ohio",42126.0
".Gallia County, Ohio",29898.0
".Geauga County, Ohio",93649.0
".Greene County, Ohio",168937.0
".Guernsey County, Ohio",38875.0
".Hamilton County, Ohio",817473.0
".Hancock County, Ohio",75783.0
".Hardin County, Ohio",31365.0
".Harrison County, Ohio",15040.0
".Henry County, Ohio",27006.0
".Highland County, Ohio",43161.0
".Hocking County, Ohio",28264.0
".Holmes County, Ohio",43960.0
".Huron County, Ohio",58266.0
".Jackson County, Ohio",32413.0
".Jefferson County, Ohio",65325.0
".Knox County, Ohio",62322.0
".Lake County, Ohio",230149.0
".Lawrence County, Ohio",59463.0
".Licking County, Ohio",176862.0
".Logan County, Ohio",45672.0
".Lorain County, Ohio",309833.0
".Lucas County, Ohio",428348.0
".Madison County, Ohio",44731.0
".Mahoning County, Ohio",228683.0
".Marion County, Ohio",65093.0
".Medina County, Ohio",179746.0
".Meigs County, Ohio",22907.0
".Mercer County, Ohio",41172.0
".Miami County, Ohio",106987.0
".Monroe County, Ohio",13654.0
".Montgomery County, Ohio",531687.0
".Morgan County, Ohio",14508.0
".Morrow County, Ohio",35328.0
".Muskingum County, Ohio",86215.0
".Noble County, Ohio",14424.0
".Ottawa County, Ohio",40525.0
".Paulding County, Ohio",18672.0
".Perry County, Ohio",36134.0
".Pickaway County, Ohio",58457.0
".Pike County, Ohio",27772.0
".Portage County, Ohio",162466.0
".Preble County, Ohio",40882.0
".Putnam County, Ohio",33861.0
".Richland County, Ohio",121154.0
".Ross County, Ohio",76666.0
".Sandusky County, Ohio",58518.0
".Scioto County, Ohio",75314.0
".Seneca County, Ohio",55178.0
".Shelby County, Ohio",48590.0
".Stark County, Ohio",370606.0
".Summit County, Ohio",541013.0
".Trumbull County, Ohio",197974.0
".Tuscarawas County, Ohio",91987.0
".Union County, Ohio",58988.0
".Van Wert County, Ohio",28275.0
".Vinton County, Ohio",13085.0
".Warren County, Ohio",234602.0
".Washington County, Ohio",59911.0
".Wayne County, Ohio",115710.0
".Williams County, Ohio",36692.0
".Wood County, Ohio",130817.0
".Wyandot County, Ohio",21772.0
".Adair County, Oklahoma",22194.0
".Alfalfa County, Oklahoma",5702.0
".Atoka County, Oklahoma",13758.0
".Beaver County, Oklahoma",5311.0
".Beckham County, Oklahoma",21859.0
".Blaine County, Oklahoma",9429.0
".Bryan County, Oklahoma",47995.0
".Caddo County, Oklahoma",28762.0
".Canadian County, Oklahoma",148306.0
".Carter County, Oklahoma",48111.0
".Cherokee County, Oklahoma",48657.0
".Choctaw County, Oklahoma",14672.0
".Cimarron County, Oklahoma",2137.0
".Cleveland County, Oklahoma",284014.0
".Coal County, Oklahoma",5495.0
".Comanche County, Oklahoma",120749.0
".Cotton County, Oklahoma",5666.0
".Craig County, Oklahoma",14142.0
".Creek County, Oklahoma",71522.0
".Custer County, Oklahoma",29003.0
".Delaware County, Oklahoma",43009.0
".Dewey County, Oklahoma",4891.0
".Ellis County, Oklahoma",3859.0
".Garfield County, Oklahoma",61056.0
".Garvin County, Oklahoma",27711.0
".Grady County, Oklahoma",55834.0
".Grant County, Oklahoma",4333.0
".Greer County, Oklahoma",5712.0
".Harmon County, Oklahoma",2653.0
".Harper County, Oklahoma",3688.0
".Haskell County, Oklahoma",12627.0
".Hughes County, Oklahoma",13279.0
".Jackson County, Oklahoma",24530.0
".Jefferson County, Oklahoma",6002.0
".Johnston County, Oklahoma",11085.0
".Kay County, Oklahoma",43538.0
".Kingfisher County, Oklahoma",15765.0
".Kiowa County, Oklahoma",8708.0
".Latimer County, Oklahoma",10073.0
".Le Flore County, Oklahoma",49853.0
".Lincoln County, Oklahoma",34877.0
".Logan County, Oklahoma",48011.0
".Love County, Oklahoma",10253.0
".McClain County, Oklahoma",40474.0
".McCurtain County, Oklahoma",32832.0
".McIntosh County, Oklahoma",19596.0
".Major County, Oklahoma",7629.0
".Marshall County, Oklahoma",16931.0
".Mayes County, Oklahoma",41100.0
".Murray County, Oklahoma",14073.0
".Muskogee County, Oklahoma",67997.0
".Noble County, Oklahoma",11131.0
".Nowata County, Oklahoma",10076.0
".Okfuskee County, Oklahoma",11993.0
".Oklahoma County, Oklahoma",797434.0
".Okmulgee County, Oklahoma",38465.0
".Osage County, Oklahoma",46963.0
".Ottawa County, Oklahoma",31127.0
".Pawnee County, Oklahoma",16376.0
".Payne County, Oklahoma",81784.0
".Pittsburg County, Oklahoma",43654.0
".Pontotoc County, Oklahoma",38284.0
".Pottawatomie County, Oklahoma",72592.0
".Pushmataha County, Oklahoma",11096.0
".Roger Mills County, Oklahoma",3583.0
".Rogers County, Oklahoma",92459.0
".Seminole County, Oklahoma",24258.0
".Sequoyah County, Oklahoma",41569.0
".Stephens County, Oklahoma",43143.0
".Texas County, Oklahoma",19983.0
".Tillman County, Oklahoma",7250.0
".Tulsa County, Oklahoma",651552.0
".Wagoner County, Oklahoma",81289.0
".Washington County, Oklahoma",51527.0
".Washita County, Oklahoma",10916.0
".Woods County, Oklahoma",8793.0
".Woodward County, Oklahoma",20211.0
".Baker County, Oregon",16124.0
".Benton County, Oregon",93053.0
".Clackamas County, Oregon",418187.0
".Clatsop County, Oregon",40224.0
".Columbia County, Oregon",52354.0
".Coos County, Oregon",64487.0
".Crook County, Oregon",24404.0
".Curry County, Oregon",22925.0
".Deschutes County, Oregon",197692.0
".Douglas County, Oregon",110980.0
".Gilliam County, Oregon",1912.0
".Grant County, Oregon",7199.0
".Harney County, Oregon",7393.0
".Hood River County, Oregon",23382.0
".Jackson County, Oregon",220944.0
".Jefferson County, Oregon",24658.0
".Josephine County, Oregon",87487.0
".Klamath County, Oregon",68238.0
".Lake County, Oregon",7869.0
".Lane County, Oregon",382067.0
".Lincoln County, Oregon",49962.0
".Linn County, Oregon",129749.0
".Malheur County, Oregon",30571.0
".Marion County, Oregon",347818.0
".Morrow County, Oregon",11603.0
".Multnomah County, Oregon",812855.0
".Polk County, Oregon",86085.0
".Sherman County, Oregon",1780.0
".Tillamook County, Oregon",27036.0
".Umatilla County, Oregon",77950.0
".Union County, Oregon",26835.0
".Wallowa County, Oregon",7208.0
".Wasco County, Oregon",26682.0
".Washington County, Oregon",601592.0
".Wheeler County, Oregon",1332.0
".Yamhill County, Oregon",107100.0
".Adams County, Pennsylvania",103009.0
".Allegheny County, Pennsylvania",1216045.0
".Armstrong County, Pennsylvania",64735.0
".Beaver County, Pennsylvania",163929.0
".Bedford County, Pennsylvania",47888.0
".Berks County, Pennsylvania",421164.0
".Blair County, Pennsylvania",121829.0
".Bradford County, Pennsylvania",60323.0
".Bucks County, Pennsylvania",628270.0
".Butler County, Pennsylvania",187853.0
".Cambria County, Pennsylvania",130192.0
".Cameron County, Pennsylvania",4447.0
".Carbon County, Pennsylvania",64182.0
".Centre County, Pennsylvania",162385.0
".Chester County, Pennsylvania",524989.0
".Clarion County, Pennsylvania",38438.0
".Clearfield County, Pennsylvania",79255.0
".Clinton County, Pennsylvania",38632.0
".Columbia County, Pennsylvania",64964.0
".Crawford County, Pennsylvania",84629.0
".Cumberland County, Pennsylvania",253370.0
".Dauphin County, Pennsylvania",278299.0
".Delaware County, Pennsylvania",566747.0
".Elk County, Pennsylvania",29910.0
".Erie County, Pennsylvania",269728.0
".Fayette County, Pennsylvania",129274.0
".Forest County, Pennsylvania",7247.0
".Franklin County, Pennsylvania",155027.0
".Fulton County, Pennsylvania",14530.0
".Greene County, Pennsylvania",36233.0
".Huntingdon County, Pennsylvania",45144.0
".Indiana County, Pennsylvania",84073.0
".Jefferson County, Pennsylvania",43425.0
".Juniata County, Pennsylvania",24763.0
".Lackawanna County, Pennsylvania",209674.0
".Lancaster County, Pennsylvania",545724.0
".Lawrence County, Pennsylvania",85512.0
".Lebanon County, Pennsylvania",141793.0
".Lehigh County, Pennsylvania",369318.0
".Luzerne County, Pennsylvania",317417.0
".Lycoming County, Pennsylvania",113299.0
".McKean County, Pennsylvania",40625.0
".Mercer County, Pennsylvania",109424.0
".Mifflin County, Pennsylvania",46138.0
".Monroe County, Pennsylvania",170271.0
".Montgomery County, Pennsylvania",830915.0
".Montour County, Pennsylvania",18230.0
".Northampton County, Pennsylvania",305285.0
".Northumberland County, Pennsylvania",90843.0
".Perry County, Pennsylvania",46272.0
".Philadelphia County, Pennsylvania",1584064.0
".Pike County, Pennsylvania",55809.0
".Potter County, Pennsylvania",16526.0
".Schuylkill County, Pennsylvania",141359.0
".Snyder County, Pennsylvania",40372.0
".Somerset County, Pennsylvania",73447.0
".Sullivan County, Pennsylvania",6066.0
".Susquehanna County, Pennsylvania",40328.0
".Tioga County, Pennsylvania",40591.0
".Union County, Pennsylvania",44923.0
".Venango County, Pennsylvania",50668.0
".Warren County, Pennsylvania",39191.0
".Washington County, Pennsylvania",206865.0
".Wayne County, Pennsylvania",51361.0
".Westmoreland County, Pennsylvania",348899.0
".Wyoming County, Pennsylvania",26794.0
".York County, Pennsylvania",449058.0
".Bristol County, Rhode Island",48479.0
".Kent County, Rhode Island",164292.0
".Newport County, Rhode Island",82082.0
".Providence County, Rhode Island",638931.0
".Washington County, Rhode Island",125577.0
".Abbeville County, South Carolina",24527.0
".Aiken County, South Carolina",170872.0
".Allendale County, South Carolina",8688.0
".Anderson County, South Carolina",202558.0
".Bamberg County, South Carolina",14066.0
".Barnwell County, South Carolina",20866.0
".Beaufort County, South Carolina",192122.0
".Berkeley County, South Carolina",227907.0
".Calhoun County, South Carolina",14553.0
".Charleston County, South Carolina",411406.0
".Cherokee County, South Carolina",57300.0
".Chester County, South Carolina",32244.0
".Chesterfield County, South Carolina",45650.0
".Clarendon County, South Carolina",33745.0
".Colleton County, South Carolina",37677.0
".Darlington County, South Carolina",66618.0
".Dillon County, South Carolina",30479.0
".Dorchester County, South Carolina",162809.0
".Edgefield County, South Carolina",27260.0
".Fairfield County, South Carolina",22347.0
".Florence County, South Carolina",138293.0
".Georgetown County, South Carolina",62680.0
".Greenville County, South Carolina",523542.0
".Greenwood County, South Carolina",70811.0
".Hampton County, South Carolina",19222.0
".Horry County, South Carolina",354081.0
".Jasper County, South Carolina",30073.0
".Kershaw County, South Carolina",66551.0
".Lancaster County, South Carolina",98012.0
".Laurens County, South Carolina",67493.0
".Lee County, South Carolina",16828.0
".Lexington County, South Carolina",298750.0
".McCormick County, South Carolina",9463.0
".Marion County, South Carolina",30657.0
".Marlboro County, South Carolina",26118.0
".Newberry County, South Carolina",38440.0
".Oconee County, South Carolina",79546.0
".Orangeburg County, South Carolina",86175.0
".Pickens County, South Carolina",126884.0
".Richland County, South Carolina",415759.0
".Saluda County, South Carolina",20473.0
".Spartanburg County, South Carolina",319785.0
".Sumter County, South Carolina",106721.0
".Union County, South Carolina",27316.0
".Williamsburg County, South Carolina",30368.0
".York County, South Carolina",280979.0
".Aurora County, South Dakota",2751.0
".Beadle County, South Dakota",18453.0
".Bennett County, South Dakota",3365.0
".Bon Homme County, South Dakota",6901.0
".Brookings County, South Dakota",35077.0
".Brown County, South Dakota",38839.0
".Brule County, South Dakota",5297.0
".Buffalo County, South Dakota",1962.0
".Butte County, South Dakota",10429.0
".Campbell County, South Dakota",1376.0
".Charles Mix County, South Dakota",9292.0
".Clark County, South Dakota",3736.0
".Clay County, South Dakota",14070.0
".Codington County, South Dakota",28009.0
".Corson County, South Dakota",4086.0
".Custer County, South Dakota",8972.0
".Davison County, South Dakota",19775.0
".Day County, South Dakota",5424.0
".Deuel County, South Dakota",4351.0
".Dewey County, South Dakota",5892.0
".Douglas County, South Dakota",2921.0
".Edmunds County, South Dakota",3829.0
".Fall River County, South Dakota",6713.0
".Faulk County, South Dakota",2299.0
".Grant County, South Dakota",7052.0
".Gregory County, South Dakota",4185.0
".Haakon County, South Dakota",1899.0
".Hamlin County, South Dakota",6164.0
".Hand County, South Dakota",3191.0
".Hanson County, South Dakota",3453.0
".Harding County, South Dakota",1298.0
