,2019
".Brown County, Illinois",6578.0
".Bureau County, Illinois",32628.0
".Calhoun County, Illinois",4739.0
".Carroll County, Illinois",14305.0
".Cass County, Illinois",12147.0
".Champaign County, Illinois",209689.0
".Christian County, Illinois",32304.0
".Clark County, Illinois",15441.0
".Clay County, Illinois",13184.0
".Clinton County, Illinois",37562.0
".Coles County, Illinois",50621.0
".Cook County, Illinois",5150233.0
".Crawford County, Illinois",18667.0
".Cumberland County, Illinois",10766.0
".DeKalb County, Illinois",104897.0
".De Witt County, Illinois",15638.0
".Douglas County, Illinois",19465.0
".DuPage County, Illinois",922921.0
".Edgar County, Illinois",17161.0
".Edwards County, Illinois",6395.0
".Effingham County, Illinois",34008.0
".Fayette County, Illinois",21336.0
".Ford County, Illinois",12961.0
".Franklin County, Illinois",38469.0
".Fulton County, Illinois",34340.0
".Gallatin County, Illinois",4828.0
".Greene County, Illinois",12969.0
".Grundy County, Illinois",51054.0
".Hamilton County, Illinois",8116.0
".Hancock County, Illinois",17708.0
".Hardin County, Illinois",3821.0
".Henderson County, Illinois",6646.0
".Henry County, Illinois",48913.0
".Iroquois County, Illinois",27114.0
".Jackson County, Illinois",56750.0
".Jasper County, Illinois",9610.0
".Jefferson County, Illinois",37684.0
".Jersey County, Illinois",21773.0
".Jo Daviess County, Illinois",21235.0
".Johnson County, Illinois",12417.0
".Kane County, Illinois",532403.0
".Kankakee County, Illinois",109862.0
".Kendall County, Illinois",128990.0
".Knox County, Illinois",49699.0
".Lake County, Illinois",696535.0
".LaSalle County, Illinois",108669.0
".Lawrence County, Illinois",15678.0
".Lee County, Illinois",34096.0
".Livingston County, Illinois",35648.0
".Logan County, Illinois",28618.0
".McDonough County, Illinois",29682.0
".McHenry County, Illinois",307774.0
".McLean County, Illinois",171517.0
".Macon County, Illinois",104009.0
".Macoupin County, Illinois",44926.0
".Madison County, Illinois",262966.0
".Marion County, Illinois",37205.0
".Marshall County, Illinois",11438.0
".Mason County, Illinois",13359.0
".Massac County, Illinois",13772.0
".Menard County, Illinois",12196.0
".Mercer County, Illinois",15437.0
".Monroe County, Illinois",34637.0
".Montgomery County, Illinois",28414.0
".Morgan County, Illinois",33658.0
".Moultrie County, Illinois",14501.0
".Ogle County, Illinois",50643.0
".Peoria County, Illinois",179179.0
".Perry County, Illinois",20916.0
".Piatt County, Illinois",16344.0
".Pike County, Illinois",15561.0
".Pope County, Illinois",4177.0
".Pulaski County, Illinois",5335.0
".Putnam County, Illinois",5739.0
".Randolph County, Illinois",31782.0
".Richland County, Illinois",15513.0
".Rock Island County, Illinois",141879.0
".St. Clair County, Illinois",259686.0
".Saline County, Illinois",23491.0
".Sangamon County, Illinois",194672.0
".Schuyler County, Illinois",6768.0
".Scott County, Illinois",4951.0
".Shelby County, Illinois",21634.0
".Stark County, Illinois",5342.0
".Stephenson County, Illinois",44498.0
".Tazewell County, Illinois",131803.0
".Union County, Illinois",16653.0
".Vermilion County, Illinois",75758.0
".Wabash County, Illinois",11520.0
".Warren County, Illinois",16844.0
".Washington County, Illinois",13887.0
".Wayne County, Illinois",16215.0
".White County, Illinois",13537.0
".Whiteside County, Illinois",55175.0
".Will County, Illinois",690743.0
".Williamson County, Illinois",66597.0
".Winnebago County, Illinois",282572.0
".Woodford County, Illinois",38459.0
".Adams County, Indiana",35777.0
".Allen County, Indiana",379299.0
".Bartholomew County, Indiana",83779.0
".Benton County, Indiana",8748.0
".Blackford County, Indiana",11758.0
".Boone County, Indiana",67843.0
".Brown County, Indiana",15092.0
".Carroll County, Indiana",20257.0
".Cass County, Indiana",37689.0
".Clark County, Indiana",118302.0
".Clay County, Indiana",26225.0
".Clinton County, Indiana",32399.0
".Crawford County, Indiana",10577.0
".Daviess County, Indiana",33351.0
".Dearborn County, Indiana",49458.0
".Decatur County, Indiana",26559.0
".DeKalb County, Indiana",43475.0
".Delaware County, Indiana",114135.0
".Dubois County, Indiana",42736.0
".Elkhart County, Indiana",206341.0
".Fayette County, Indiana",23102.0
".Floyd County, Indiana",78522.0
".Fountain County, Indiana",16346.0
".Franklin County, Indiana",22758.0
".Fulton County, Indiana",19974.0
".Gibson County, Indiana",33659.0
".Grant County, Indiana",65769.0
".Greene County, Indiana",31922.0
".Hamilton County, Indiana",338011.0
".Hancock County, Indiana",78168.0
".Harrison County, Indiana",40515.0
".Hendricks County, Indiana",170311.0
".Henry County, Indiana",47972.0
".Howard County, Indiana",82544.0
".Huntington County, Indiana",36520.0
".Jackson County, Indiana",44231.0
".Jasper County, Indiana",33562.0
".Jay County, Indiana",20436.0
".Jefferson County, Indiana",32308.0
".Jennings County, Indiana",27735.0
".Johnson County, Indiana",158167.0
".Knox County, Indiana",36594.0
".Kosciusko County, Indiana",79456.0
".LaGrange County, Indiana",39614.0
".Lake County, Indiana",485493.0
".LaPorte County, Indiana",109888.0
".Lawrence County, Indiana",45370.0
".Madison County, Indiana",129569.0
".Marion County, Indiana",964582.0
".Marshall County, Indiana",46258.0
".Martin County, Indiana",10255.0
".Miami County, Indiana",35516.0
".Monroe County, Indiana",148431.0
".Montgomery County, Indiana",38338.0
".Morgan County, Indiana",70489.0
".Newton County, Indiana",13984.0
".Noble County, Indiana",47744.0
".Ohio County, Indiana",5875.0
".Orange County, Indiana",19646.0
".Owen County, Indiana",20799.0
".Parke County, Indiana",16937.0
".Perry County, Indiana",19169.0
".Pike County, Indiana",12389.0
".Porter County, Indiana",170389.0
".Posey County, Indiana",25427.0
".Pulaski County, Indiana",12353.0
".Putnam County, Indiana",37576.0
".Randolph County, Indiana",24665.0
".Ripley County, Indiana",28324.0
".Rush County, Indiana",16581.0
".St. Joseph County, Indiana",271826.0
".Scott County, Indiana",23873.0
".Shelby County, Indiana",44729.0
".Spencer County, Indiana",20277.0
".Starke County, Indiana",22995.0
".Steuben County, Indiana",34594.0
".Sullivan County, Indiana",20669.0
".Switzerland County, Indiana",10751.0
".Tippecanoe County, Indiana",195732.0
".Tipton County, Indiana",15148.0
".Union County, Indiana",7054.0
".Vanderburgh County, Indiana",181451.0
".Vermillion County, Indiana",15498.0
".Vigo County, Indiana",107038.0
".Wabash County, Indiana",30996.0
".Warren County, Indiana",8265.0
".Warrick County, Indiana",62998.0
".Washington County, Indiana",28036.0
".Wayne County, Indiana",65884.0
".Wells County, Indiana",28296.0
".White County, Indiana",24102.0
".Whitley County, Indiana",33964.0
".Adair County, Iowa",7152.0
".Adams County, Iowa",3602.0
".Allamakee County, Iowa",13687.0
".Appanoose County, Iowa",12426.0
".Audubon County, Iowa",5496.0
".Benton County, Iowa",25645.0
".Black Hawk County, Iowa",131228.0
".Boone County, Iowa",26234.0
".Bremer County, Iowa",25062.0
".Buchanan County, Iowa",21175.0
".Buena Vista County, Iowa",19620.0
".Butler County, Iowa",14439.0
".Calhoun County, Iowa",9668.0
".Carroll County, Iowa",20165.0
".Cass County, Iowa",12836.0
".Cedar County, Iowa",18627.0
".Cerro Gordo County, Iowa",42450.0
".Cherokee County, Iowa",11235.0
".Chickasaw County, Iowa",11933.0
".Clarke County, Iowa",9395.0
".Clay County, Iowa",16016.0
".Clayton County, Iowa",17549.0
".Clinton County, Iowa",46429.0
".Crawford County, Iowa",16820.0
".Dallas County, Iowa",93453.0
".Davis County, Iowa",9000.0
".Decatur County, Iowa",7870.0
".Delaware County, Iowa",17011.0
".Des Moines County, Iowa",38967.0
".Dickinson County, Iowa",17258.0
".Dubuque County, Iowa",97311.0
