FIPS,Lat,Long_
20005,39.53185661,-95.30870026
29005,40.43238737,-95.42970639
39009,39.33425634,-82.04278644
13003,31.29633502,-82.87545866
34001,39.47538693,-74.65848483
40005,34.37366573,-96.03802487
28007,33.08658803,-89.57838564
29007,39.215877,-91.84242683
19009,41.6844628,-94.90581859
39011,40.55998859,-84.2242143
51015,38.16404586,-79.12461614
46003,43.71757685,-98.56050467
48015,29.88548725,-96.27736949
1001,32.53952745,-86.64408227
22009,31.07796211,-92.00079449
8009,37.31940883,-102.5603223
13005,31.55456473,-82.45936528
48017,34.06854817,-102.8299707
12003,30.33060121,-82.28467476
13007,31.32669878,-84.44218806
41001,44.70915557,-117.6749883
1003,30.72774991,-87.72207058
13009,33.06882326,-83.24701748
21007,37.05842757,-88.99427697
24005,39.45784712,-76.62911955
24510,39.30211911,-76.61151012
45009,33.21927586,-81.05659969
48019,29.74619598,-99.24598147
13011,34.35607081,-83.49644388
16005,42.67002716,-112.2233311
26013,46.6720582,-88.36363591
20007,37.2288586,-98.68460053
1005,31.868263,-85.3871286
54001,39.1307219,-80.00350858
38003,46.93579637,-98.06605978
25001,41.72980578,-70.28854339
45011,33.26679302,-81.43584352
21009,36.96469836,-85.93338945
55005,45.42372701,-91.84833627
13013,33.99148694,-83.71436292
26015,42.59513984,-85.30834519
29009,36.70978521,-93.82919888
18005,39.20744865,-85.89558181
20009,38.47889676,-98.75636726
13015,34.23732119,-84.83887523
48021,30.10370699,-97.31206354
29013,38.25271289,-94.34113157
21011,38.14735938,-83.74588932
51017,38.05852573,-79.73912095
5005,36.28784385,-92.33782872
12005,30.26548745,-85.62122584
26017,43.70639106,-83.98731479
55007,46.52868768,-91.19716729
46005,44.41464384,-98.27858469
,41.52106798,-113.0832816
37013,35.48531943,-76.84325809
45013,32.39226291,-80.72619758
22011,30.64836518,-93.34173616
40007,36.7496847,-100.4758872
42007,40.6825484,-80.34921611
30001,45.13434354,-112.8984694
27005,46.93479392,-95.67158144
40009,35.26862449,-99.68128023
42009,40.00522157,-78.48998442
47003,35.51123746,-86.45549096
51019,37.3080028,-79.5281964
48025,28.41761668,-97.74215593
33001,43.51637314,-71.41684235
48027,31.03736027,-97.4785025
39013,40.01625942,-80.9924051
27007,47.97373527,-94.93732139
13017,31.76095874,-83.22145359
50003,43.03519828,-73.09048868
38005,48.0683985,-99.35916363
8011,37.95474293,-103.0720195
5007,36.33644656,-94.25680817
18007,40.60626947,-87.31093999
19011,42.08011739,-92.06463573
27009,45.69804958,-93.99514135
28009,34.81681228,-89.18945516
29015,38.29503305,-93.28756116
41003,44.49167306,-123.4316987
47005,36.07110411,-88.06849355
